Effect	Mediator	Causes	Regulators
EG11558	EG10457	EG12243 // EG10317	EG10061 // EG10164 // EG10325
EG11559	EG10457	EG12243 // EG10317	EG10061 // EG10164 // EG10325
EG11560	EG10457	EG12243 // EG10317	EG10061 // EG10164 // EG10325
EG11561	EG10457	EG12243 // EG10317	EG10061 // EG10164 // EG10325
G0-16680	EG10457	EG12243 // EG10317	EG10061 // EG11544 // EG10164 // EG12242
EG12241	EG10457	EG12243 // EG10317	EG11544 // EG10164 // EG12242
EG12240	EG10457	EG12243 // EG10317	EG11544 // EG10164 // EG12242 // G7072
EG11544	EG10457	EG12243 // EG10317	EG10061 // EG11544 // EG10164 // EG12242 // G7072
EG10133	EG10457	G7047 // EG12243	EG12386 // EG10325 // EG10531
G7430	EG10457	G7047 // EG12243 // EG10317	EG12386 // EG10164 // EG10531
G7429	EG10457	G7047 // EG12243 // EG10317	EG10164 // EG10531
G7428	EG10457	G7047 // EG12243 // EG10317	EG10164 // EG10531
G7427	EG10457	G7047 // EG12243 // EG10317	EG10164 // EG10531
G7426	EG10457	G7047 // EG12243 // EG10317	EG10164 // EG10531
G7425	EG10457	G7047 // EG12243 // EG10317	EG10164 // EG10531
EG12845	EG10457	G7047 // EG12243 // EG10317	EG10164 // EG10531
G7947	EG10457	G7047 // EG12243	EG12386 // EG10531
EG10531	EG10457	G7047 // EG12243	EG10821 // G7072 // EG10531
EG10974	EG10457	EG12243 // EG10317	EG10164 // G7072
EG11330	EG10457	EG12243 // EG10317	EG12386 // EG10164 // G7072
EG10361	EG10457	EG12243 // EG10317	EG12386 // EG10164 // G7072
EG11329	EG10457	EG12243 // EG10317	EG12386 // EG10164 // G7072
EG12387	EG10457	EG12243 // EG10317	EG12386 // EG10164
G7394	EG10457	EG12243 // EG10317	EG10061 // EG12386 // EG10164 // G7072
EG10114	EG10457	G7047 // EG12243 // EG10317	EG10821 // EG10164 // G7072 // EG10531
EG10115	EG10457	G7047 // EG12243 // EG10317	EG10821 // EG10164 // EG10531
EG10116	EG10457	G7047 // EG12243 // EG10317	EG10821 // EG10164 // EG10531
EG10319	EG10457	EG12243 // EG10317	EG10440 // EG10441 // EG10821 // EG10164
EG10320	EG10457	EG12243 // EG10317	EG10440 // EG10441 // EG10821 // EG10164
EG11501	EG10457	EG12243 // EG10317	EG10440 // EG10441 // EG11966
EG30063	EG10457	EG12243 // EG10317	EG10440 // EG10441 // EG10061
G6088	EG10457	EG12243 // EG10317	EG10164 // EG10325 // G7072
G7329	EG10457	EG12243 // EG10317	EG10164 // G7072
EG10309	EG10457	G7047 // EG10317	EG10440 // EG10441 // EG10230
EG12243	EG10457	EG12243 // EG10317	EG11966 // EG10061 // G0-8914 // EG10728 // EG11544 // EG12386 // EG10821 // EG12615 // EG10164 // EG12301 // EG12242 // EG10325 // G7072
EG50009	EG10457	EG12243 // EG10317	EG11966 // EG10061 // EG11544 // EG10821 // EG12615 // EG10164 // EG12242 // EG10325
G6619	EG10457	G7047 // EG12243 // EG10317	EG10164 // EG10325 // EG10230
EG10653	EG10457	EG12243 // EG10317	EG10440 // EG10441 // EG10164 // EG10325
EG10655	EG10457	EG12243 // EG10317	EG10440 // EG10441 // EG10164 // EG10325
EG10654	EG10457	EG12243 // EG10317	EG10440 // EG10441 // EG10164 // EG10325
EG10188	EG10457	EG12243 // EG10317	EG10440 // EG10441 // EG10164 // EG10325
EG10319	EG10820	G7072 // EG11544	EG11356 // EG10164 // EG10359
EG10320	EG10820	G7072 // EG11544	EG11356 // EG10164 // EG10359
EG10403	EG10070	EG10547 // EG10061	EG10325 // EG11544 // G7072
EG10404	EG10070	EG10547 // EG10061	EG10325 // EG11544 // G7072
EG11514	EG10070	EG10547 // EG10061	EG10325 // EG11544 // G7072
G6786	EG12242	EG10457 // EG12243 // G6789 // EG11544 // G0-8914	EG11356 // EG11966 // EG10821 // EG10164 // EG10317
EG11490	EG12242	EG10457 // EG12243 // G6789 // EG11544 // G0-8914	EG11356 // EG11966 // EG10821 // EG10164 // EG10317
EG11400	EG12242	EG12243 // G6789 // EG11544 // G0-8914	EG11356 // EG10821 // EG12615
EG11399	EG12242	EG12243 // G6789 // EG11544 // G0-8914	EG11356 // EG10821 // EG12615
EG11398	EG12242	EG12243 // G6789 // EG11544 // G0-8914	EG11356 // EG10821 // EG12615
G0-16680	EG12242	EG10325 // EG12243 // G6789 // EG11544	G0-10694 // EG11356 // EG11609 // EG10164 // EG10061
EG12241	EG12242	EG12243 // G6789 // EG11544	EG11356 // EG11609 // EG10164
EG12240	EG12242	EG10547 // EG12243 // G6789 // EG11544 // EG10728 // EG10935	EG11356 // EG11609 // EG10164 // G7072
EG11544	EG12242	EG10547 // EG10325 // EG12243 // G6789 // EG11544 // EG10728 // EG10935	G0-10694 // EG11356 // EG11609 // EG10164 // EG10061 // G7072
EG12243	EG12242	EG10547 // EG10325 // EG10457 // EG12243 // G6789 // EG11544 // EG10728 // G0-8914 // EG10935	EG11966 // EG10821 // EG12615 // EG10164 // EG10317 // EG10061 // G7072
EG50009	EG12242	EG10325 // EG10457 // EG12243 // G6789 // EG11544 // G0-8914	EG11966 // EG10821 // EG12615 // EG10164 // EG10317 // EG10061
EG10954	EG10441	EG10230 // EG10440	EG11212 // EG10164
EG10587	EG10591	G7072 // EG10588	EG10547 // EG10359
EG10456	EG10591	G7072 // EG10588	EG10359 // EG10325
EG10671	EG10164	EG10317 // EG10338	EG10728 // EG10440 // EG10441
EG11411	EG11434	G0-8872 // G0-10677 // EG10958	EG10325 // EG10359
EG11221	EG11434	G0-8872 // G0-10677 // EG10958	EG10325 // EG10359
EG10358	EG11434	G0-8872 // G0-10677 // EG10958	EG10957 // EG10325 // EG10359
EG10953	EG11434	G0-8872 // G0-10677 // EG10317 // EG10958	EG10957 // EG10440 // EG10441 // EG10325 // EG10359
EG30063	EG11434	EG12116 // EG11366 // EG10317 // EG10958	EG10547 // EG10440 // EG10441 // EG10672
EG11784	EG10359	EG10958 // EG10164	EG10317 // EG10325
EG11221	EG10359	EG10958 // EG10164	EG10338 // EG10325
EG10649	EG10359	EG10958 // EG10164	EG10317 // EG10325
EG10543	EG10359	EG10958 // EG10164	EG10338 // EG10317 // EG10325
EG30069	EG10359	EG10958 // EG10164	EG10317 // EG10325
EG10509	EG10359	EG10958 // EG10164	EG10317 // EG10547
EG10357	EG10359	EG10958 // EG10164	EG10317 // EG10325
EG10182	EG10359	EG10958 // EG10164	EG10338 // EG10317 // EG10325
EG10181	EG10359	EG10958 // EG10164	EG10338 // EG10317 // EG10325
EG10180	EG10359	EG10958 // EG10164	EG10338 // EG10317 // EG10325
EG10179	EG10359	EG10958 // EG10164	EG10338 // EG10317 // EG10325
EG10178	EG10359	EG10958 // EG10164	EG10338 // EG10317 // EG10325
G7039	G6546	EG11356 // G0-8880 // EG10440	EG10320 // EG10319 // G6745 // G6165 // EG11212
EG11356	G6546	EG11356 // G0-8880 // EG10440	EG10320 // EG10319 // G6745 // G6165 // EG11212
EG11355	G6546	EG11356 // G0-8880 // EG10440	EG10320 // EG10319 // G6745 // G6165 // EG11212
EG11256	G6546	EG10820 // G0-8880 // EG10672 // EG10441 // EG10440	EG10230 // G7072
EG11391	EG11356	G6546 // EG10319 // EG10320 // EG10457	EG10317 // EG10164
G6543	EG11356	G6546 // EG10319 // EG10320	EG10125 // G6444 // EG11615 // EG10338 // EG12008 // EG10672 // EG10164 // G0-8880 // G0-10592 // G0-8867 // G0-8863 // G0-8899 // G0-8882 // G0-8868 // EG12006 // G7571 // EG10020 // EG10821 // EG10820 // G6864
G6544	EG11356	G6546 // EG10319 // EG10320	EG10125 // G6444 // EG11615 // EG10338 // EG12008 // EG10672 // EG10164 // G0-8880 // G0-10592 // G0-8867 // G0-8863 // G0-8899 // G0-8882 // G0-8868 // EG12006 // G7571 // EG10020 // EG10821 // EG10820 // G6864
